user_id,song_id,song_name,artist,genre,rating
1,11,Hawái,Maluma,Reguetón,5
1,24,La Que Me Quiere la Quiero,Peter Manjarrés,Vallenato,2
1,39,El Desmadre,Yeison Jiménez,Música Popular,2
1,25,La Bachata,Manuel Turizo,Pop Latino,5
1,12,Sobrio,Maluma,Reguetón,5
1,8,Mi Gente,J Balvin,Reguetón,5
1,6,Feliz Cumpleaños Ferxxo,Feid,Reguetón,5
1,44,Gotas de Lluvia,Grupo Niche,Salsa / Tropical,2
1,56,Sigamos Caminando,Don Tetto,Rock / Alternativo,4
1,30,Devuélveme el Corazón,Sebastián Yatra,Pop Latino,3
1,3,Amargura,Karol G,Reguetón,4
1,9,Qué Más Pues?,J Balvin,Reguetón,5
1,55,Mi Error,Don Tetto,Rock / Alternativo,2
1,15,Jordan,Ryan Castro,Reguetón,4
1,40,Mi Presidio,Luis Alfonso,Música Popular,1
1,14,Mujeriego,Ryan Castro,Reguetón,4
1,50,A la Memoria del Muerto,Fruko y sus Tesos,Salsa / Tropical,1
1,27,Quiéreme Mientras Se Pueda,Manuel Turizo,Pop Latino,4
1,28,Tacones Rojos,Sebastián Yatra,Pop Latino,5
1,5,Classy 101,Feid,Reguetón,5
1,38,Tenías Razón,Yeison Jiménez,Música Popular,2
1,58,Vestido de Cristal,Kraken,Rock / Alternativo,4
1,54,Baracunátana,Aterciopelados,Rock / Alternativo,3
2,26,Una Lady Como Tú,Manuel Turizo,Pop Latino,2
2,23,Traga’o de Ti,Peter Manjarrés,Vallenato,2
2,38,Tenías Razón,Yeison Jiménez,Música Popular,3
2,48,Centurión de la Noche,Joe Arroyo,Salsa / Tropical,4
2,56,Sigamos Caminando,Don Tetto,Rock / Alternativo,3
2,3,Amargura,Karol G,Reguetón,2
2,17,Las Locuras Mías,Silvestre Dangond,Vallenato,1
2,10,Ginza,J Balvin,Reguetón,4
2,35,Matemos las Ganas,Jessi Uribe,Música Popular,1
2,33,Índigo,Camilo,Pop Latino,3
2,37,Aventurero,Yeison Jiménez,Música Popular,1
2,1,Provenza,Karol G,Reguetón,3
2,54,Baracunátana,Aterciopelados,Rock / Alternativo,2
2,28,Tacones Rojos,Sebastián Yatra,Pop Latino,3
2,13,Borro Cassette,Maluma,Reguetón,3
2,7,Normal,Feid,Reguetón,2
2,40,Mi Presidio,Luis Alfonso,Música Popular,3
2,9,Qué Más Pues?,J Balvin,Reguetón,1
2,43,Cali Pachanguero,Grupo Niche,Salsa / Tropical,5
2,60,Lenguaje de mi Piel,Kraken,Rock / Alternativo,3
2,29,Robarte un Beso,Sebastián Yatra,Pop Latino,4
2,52,Bolero Falaz,Aterciopelados,Rock / Alternativo,1
3,32,Tutu,Camilo,Pop Latino,5
3,26,Una Lady Como Tú,Manuel Turizo,Pop Latino,5
3,39,El Desmadre,Yeison Jiménez,Música Popular,5
3,50,A la Memoria del Muerto,Fruko y sus Tesos,Salsa / Tropical,3
3,17,Las Locuras Mías,Silvestre Dangond,Vallenato,2
3,37,Aventurero,Yeison Jiménez,Música Popular,5
3,20,Esta Vida,Jorge Celedón,Vallenato,1
3,1,Provenza,Karol G,Reguetón,1
3,51,Los Charcos,Fruko y sus Tesos,Salsa / Tropical,1
3,7,Normal,Feid,Reguetón,2
3,55,Mi Error,Don Tetto,Rock / Alternativo,2
3,56,Sigamos Caminando,Don Tetto,Rock / Alternativo,3
3,46,La Rebelión,Joe Arroyo,Salsa / Tropical,4
3,23,Traga’o de Ti,Peter Manjarrés,Vallenato,2
3,5,Classy 101,Feid,Reguetón,1
3,27,Quiéreme Mientras Se Pueda,Manuel Turizo,Pop Latino,3
3,59,Frágil al Viento,Kraken,Rock / Alternativo,1
3,40,Mi Presidio,Luis Alfonso,Música Popular,5
3,28,Tacones Rojos,Sebastián Yatra,Pop Latino,4
3,47,En Barranquilla Me Quedo,Joe Arroyo,Salsa / Tropical,3
3,57,No Digas Lo Siento,Don Tetto,Rock / Alternativo,1
3,15,Jordan,Ryan Castro,Reguetón,3
3,14,Mujeriego,Ryan Castro,Reguetón,2
4,45,Busca por Dentro,Grupo Niche,Salsa / Tropical,1
4,18,Ya No Me Duele Más,Silvestre Dangond,Vallenato,3
4,8,Mi Gente,J Balvin,Reguetón,4
4,30,Devuélveme el Corazón,Sebastián Yatra,Pop Latino,3
4,17,Las Locuras Mías,Silvestre Dangond,Vallenato,4
4,16,Monastery,Ryan Castro,Reguetón,5
4,19,Materialista,Silvestre Dangond,Vallenato,1
4,37,Aventurero,Yeison Jiménez,Música Popular,5
4,54,Baracunátana,Aterciopelados,Rock / Alternativo,2
4,25,La Bachata,Manuel Turizo,Pop Latino,2
